NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
SOTICO," 3,871,050.00 "," 21,286,905.15 "," 98,895,403.00 "," 137,611,849.78 "," 10,604,592.75 "," 22,324,628.00 "," 91,728,884.00 "," 21,286,905.15 "," 1,591,694.49 "," 21,539,824.84 "," 1,367,603.32 "
SOUTHERN STAR," 88,341,018.06 "," 137,772,143.80 "," 535,304,107.08 "," 889,486,110.02 "," 80,641,758.78 "," 53,110,991.74 "," 578,428,336.90 "," 163,669,338.96 "," 8,286,724.06 "," 137,953,210.00 "," 133,783,047.57 "
STAKE KENYA," 2,929,050.00 "," 23,996,210.91 "," 106,536,963.52 "," 187,682,245.92 "," 14,683,225.10 "," 26,165,631.39 "," 132,296,793.68 "," 23,996,210.91 "," 7,675,824.86 "," 26,780,487.14 "," 5,018,050.64 "
STAWISHA," 6,592,330.00 "," 32,513,698.72 "," 89,605,271.51 "," 142,793,653.14 "," 12,561,758.50 "," 33,045,563.28 "," 105,144,881.54 "," 39,106,028.72 "," 7,364,667.02 "," 23,730,814.45 "," 10,980,222.00 "
STEGRO," 29,402,350.36 "," 110,533.66 "," 141,228,372.92 "," 767,782,101.87 "," 33,565,149.71 "," 14,712,927.31 "," 288,166,824.20 "," 110,533.66 ","-88,080,482.51 "," 76,794,613.44 "," 37,854,481.55 "
STIMA DT," 775,242,929.11 "," 1,826,355,242.62 "," 16,390,432,899.43 "," 20,155,642,219.90 "," 759,575,079.51 "," 1,618,322,986.11 "," 15,894,778,060.96 "," 2,001,781,952.62 "," 50,531,352.03 "," 2,607,445,175.88 "," 553,624,933.84 "
SUKARI," 79,758,136.76 "," 80,457,056.69 "," 646,329,474.65 "," 905,065,437.06 "," 33,357,086.07 "," 27,374,469.12 "," 566,471,237.87 "," 81,080,997.79 "," 66,371,492.70 "," 126,348,959.16 "," 113,329,161.00 "
SULUHU," 3,954,264.00 "," 71,140,925.43 "," 210,731,816.25 "," 371,076,274.45 "," 25,339,625.00 "," 76,540,698.86 "," 266,491,337.02 "," 75,095,189.43 "," 23,927,546.18 "," 53,093,488.69 "," 15,932,812.19 "
SUPA ," 583,853.00 "," 32,935,858.00 "," 195,985,433.00 "," 235,294,325.00 "," 16,506,509.00 "," 32,810,501.00 "," 180,240,910.00 "," 32,935,858.00 "," 7,188,308.00 "," 26,794,766.00 "," 2,864,824.64 "
TABASAMU," 13,554,563.29 "," 50,698,241.90 "," 83,799,822.47 "," 473,968,290.40 "," 25,125,479.40 "," 84,690,739.02 "," 332,538,636.83 "," 50,698,241.90 "," 75,683,403.26 "," 156,498,047.43 "," 15,069,826.81 "
TABASURI," 22,647,964.55 "," 9,221,162.00 "," 223,286,775.69 "," 267,644,721.79 "," 30,739,400.31 "," 27,516,955.97 "," 212,071,061.28 "," 18,102,346.55 "," 12,319,695.78 "," 47,498,831.36 "," 59,835,019.32 "
TAI," 27,852,338.40 "," 437,087,421.72 "," 1,038,560,557.86 "," 1,578,771,355.16 "," 137,475,443.80 "," 336,950,600.12 "," 944,210,022.49 "," 464,939,760.12 "," 8,187,253.96 "," 223,735,167.57 "," 65,056,978.60 "
TAIFA ," 92,866,983.77 "," 559,919,771.80 "," 1,150,289,421.92 "," 2,159,189,590.74 "," 200,822,090.91 "," 518,789,843.95 "," 1,663,951,700.88 "," 652,786,755.57 "," 73,655,896.29 "," 342,536,102.54 "," 42,059,112.96 "
TARAJI SAVINGS," 31,646,593.00 "," 19,837,258.01 "," 144,603,185.00 "," 380,763,490.29 "," 27,548,358.00 "," 43,103,264.40 "," 212,051,752.09 "," 33,025,231.01 "," 3,284,474.15 "," 36,203,703.11 "," 1,944,674.31 "
TELEPOST," 76,425,200.00 "," 52,398,805.63 "," 511,550,073.18 "," 959,260,409.72 "," 78,661,310.88 "," 20,154,179.87 "," 524,512,245.02 "," 53,705,805.63 "," 4,864,073.90 "," 158,977,485.29 "," 110,349,154.70 "
TEMBO," 65,583.91 "," 72,437.69 "," 1,198,174.10 "," 1,388,116.48 "," 29,985.76 "," 205,216.23 "," 990,469.02 "," 89,097.79 "," 39,869.85 "," 198,114.69 "," 28,971,510.59 "
