NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL 
UNITED NATIONS," 23,546,140.28 ","6,354,616,793.78","8,866,894,008.89","240,675,403.83"," 2,464,164,610.60 ","11,431,401,669.29"," 6,354,616,793.78 ","457,191,397.19","1,702,627,504.36"," 211,263,539.30 "
UNIVERSAL TRADERS," 15,517,943.00 ","99,151,410.48","1,294,816,601.59","142,602,894.36"," 338,432,079.85 ","786,932,328.60"," 99,151,410.48 ","30,136,663.12","230,454,751.54"," 157,212,886.91 "
USHURU," 70,423,238.00 ","1,190,597,415.36","3,758,901,297.60","88,786,086.95"," 1,007,743,744.21 ","4,289,786,177.27"," 1,225,731,497.36 ","481,090,702.91","590,926,741.76"," 38,776,263.34 "
VIHIGA COUNTY," 514,224.00 ","17,471,289.00","27,758,212.00","10,768,288.00"," 22,776,367.00 ","34,692,703.00"," 17,471,289.00 ","922,456.00","13,032,032.00"," 3,125,943.36 "
VIKTAS," 18,021,808.34 ","23,680,357.00","305,657,997.11","26,424,469.70"," 62,243,945.89 ","251,269,098.37"," 31,121,916.34 ","27,654,149.73","58,218,534.68"," 15,932,749.39 "
VISION AFRICA," 293,020.64 ","44,208,442.77","474,650,345.31","43,333,581.61"," 129,939,209.10 ","381,429,144.45"," 44,208,442.77 ","27,715,222.75","86,983,744.47"," 16,958,386.16 "
VISION POINT," 26,606,943.80 ","119,455,473.47","338,459,421.23","182,655,606.44"," 108,596,418.26 ","397,433,523.69"," 119,455,473.47 ","-74,675,795.60","132,210,427.97"," 20,347,832.84 "
WAKENYA PAMOJA," 126,190,648.50 ","368,265,437.79","847,435,183.14","269,590,964.69"," 467,414,974.23 ","811,593,266.36"," 368,265,437.79 ","17,003,415.35","358,006,467.04"," 947,623,071.09 "
WAKULIMA COMMERCIAL," 25,298,938.04 ","64,226,875.76","614,631,549.70","38,133,748.25"," 179,671,233.85 ","504,271,234.16"," 81,975,943.80 ","50,781,175.02","110,905,182.96"," 93,087,869.81 "
WANAANGA," 18,093,594.40 ","224,258,002.75","963,645,765.45","64,998,303.02"," 176,836,398.06 ","1,055,611,304.94"," 224,258,002.75 ","1,034,002.01","187,613,552.89"," 35,951,745.69 "
WANANCHI," 60,476,474.07 ","522,782,751.35","830,832,172.00","147,018,411.07"," 285,465,369.70 ","929,406,148.13"," 522,782,751.35 ","22,321,321.20","226,471,763.49"," 229,613,924.90 "
WANANDEGE," 9,690,064.00 ","120,973,019.71","1,030,506,840.02","147,330,414.15"," 353,828,901.04 ","1,050,320,983.36"," 120,973,019.71 ","95,693,034.66","200,469,473.87"," 49,523,131.22 "
WASHA," 17,684,744.18 ","35,929,139.61","245,405,058.51","14,942,290.18"," 36,726,134.99 ","232,696,245.44"," 49,744,995.49 ","7,666,277.10","51,099,795.15"," 10,581,241.04 "
WAUMINI," 142,221,589.80 ","1,051,260,536.84","4,503,682,126.45","193,710,887.92"," 1,309,748,969.38 ","4,396,073,880.52"," 1,151,260,536.84 ","474,363,211.94","689,512,656.77"," 621,710,783.78 "
WEVARSITY," 1,588,244.00 ","24,072,943.35","323,071,699.69","31,500,210.08"," 76,525,015.66 ","288,227,040.54"," 24,072,943.35 ","5,004,675.85","68,406,368.82"," 20,769,944.11 "
WINAS," 81,356,794.67 ","837,499,831.84","8,195,567,059.53","294,727,215.34"," 2,571,798,204.12 ","4,999,944,062.94"," 918,856,626.51 ","416,159,229.18","1,516,109,019.22"," 214,085,932.24 "
YETU," 116,417,035.00 ","1,322,752,341.76","3,379,491,104.42","200,178,164.36"," 1,311,440,240.65 ","2,849,519,546.54"," 1,392,752,341.76 ","189,556,496.99","598,907,413.16"," 620,875,349.87 "
,,,,,,,,,,
