NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL ,
SIMBA CHAI," 10,132,422.80 "," 99,687,021.15 "," 980,581,298.95 "," 1,210,776,376.22 "," 26,597,845.28 "," 200,530,962.74 "," 702,991,371.09 "," 99,687,021.15 "," 31,958,957.84 "," 171,445,924.10 "," 4,850,526.72 ",
SIRAJI," 1,501,856.00 "," 8,347,286.16 "," 232,537,378.53 "," 282,238,039.59 "," 38,206,538.96 "," 51,518,030.86 "," 205,642,450.85 "," 8,347,286.16 "," 1,507,097.38 "," 59,732,290.37 "," 12,122,918.68 ",
SKYLINE," 7,745,497.00 "," 119,142,808.57 "," 677,363,572.87 "," 955,883,426.99 "," 76,566,147.46 "," 130,055,324.19 "," 777,885,358.48 "," 119,142,808.57 "," 41,648,767.97 "," 158,342,260.92 "," 80,662,084.41 ",
SMART CHAMPION," 10,318,912.82 "," 39,714,825.91 "," 141,230,065.74 "," 206,564,233.23 "," 12,644,763.85 "," 31,822,577.12 "," 105,399,929.74 "," 39,714,825.91 "," 2,676,411.63 "," 31,784,833.14 "," 15,416,098.50 ",
SMARTLIFE DT," 53,550,010.00 "," 67,187,324.00 "," 740,243,677.00 "," 923,841,346.00 "," 25,787,741.00 "," 119,699,285.00 "," 572,136,853.00 "," 101,634,774.00 "," 13,723,627.00 "," 85,170,649.00 "," 14,804,872.00 ",
SOLUTION," 146,282,834.00 "," 406,335,588.54 "," 2,629,111,278.19 "," 3,356,481,895.07 "," 224,918,789.01 "," 423,940,161.28 "," 2,237,088,469.90 "," 552,618,422.54 "," 270,041,041.51 "," 565,915,854.85 "," 104,291,404.19 ",
SOTICO," 3,871,050.00 "," 25,141,339.92 "," 112,526,342.00 "," 151,497,159.40 "," 13,212,654.09 "," 21,955,528.00 "," 101,489,332.00 "," 25,141,339.92 "," 858,866.43 "," 27,264,187.60 "," 5,770,310.82 ",
SOUTHERN STAR," 98,452,820.31 "," 139,286,417.53 "," 615,985,822.16 "," 969,303,425.04 "," 92,324,455.25 "," 73,069,909.97 "," 676,436,149.62 "," 175,224,406.84 "," 8,332,713.15 "," 150,392,179.15 "," 146,480,357.74 ",
STAKE KENYA," 2,929,050.00 "," 28,629,957.71 "," 103,185,048.60 "," 185,283,227.40 "," 16,842,584.70 "," 34,155,627.24 "," 133,558,906.12 "," 31,559,007.71 "," 7,585,794.31 "," 27,311,298.98 "," 6,484,468.13 ",
STAWISHA," 6,992,330.00 "," 31,226,229.08 "," 107,431,356.70 "," 160,525,288.65 "," 14,160,034.10 "," 36,693,331.47 "," 116,410,903.36 "," 38,218,559.08 "," 9,098,784.77 "," 27,318,988.79 "," 18,519,150.00 ",
